Name,Date,Stars,Review,Userpic,Product Image,Product Link
Alesha,"Apr 21, 2020",5,None,None,https://i.etsystatic.com/1848141264/d/il/35889f/1848141264/il_170x135.1848141264_bnsq.jpg?version=0,etsy.com/listing/694945653/mothers-day-gift-idea-mothers-day-gift?ref=shop_review
Bobbie,"Apr 21, 2020",5,None,None,https://i.etsystatic.com/2017868442/d/il/0103ae/2017868442/il_170x135.2017868442_acfe.jpg?version=0,etsy.com/listing/584697167/bridesmaid-tote-bags-wedding-party-gift?ref=shop_review
kalewis53183,"Apr 21, 2020",5,Great quality and fast service!,None,https://i.etsystatic.com/2227616882/d/il/805134/2227616882/il_170x135.2227616882_4yn9.jpg?version=0,etsy.com/listing/786442871/elizabeth-dileo-group-shirts?ref=shop_review
Kirsten,"Apr 21, 2020",4,"I really loved everything about this robe. The font, the silk, the colors. I bought white for me and black for my bridesmaids with white font. Looks sooo nice, I can't wait to see them on my girls. My only disappointment was that it runs a little smaller than I anticipated, but that won't stop me from wearing it anyway. Since I'll be wearing a white robe, I planned on wearing something underneath it anyway :)",None,https://i.etsystatic.com/2022906345/d/il/cdec0b/2022906345/il_170x135.2022906345_8gvi.jpg?version=0,etsy.com/listing/665112524/bridesmaid-robes-bridesmaid-gift?ref=shop_review
Kathleen McCann,"Apr 21, 2020",5,Such a comfy flannel! It came out perfect I love wearing it around!,None,https://i.etsystatic.com/1774058321/d/il/b5f0a5/1774058321/il_170x135.1774058321_89qh.jpg?version=0,etsy.com/listing/639759002/mrs-flannel-bride-flannel-shirt-custom?ref=shop_review
amandaroop,"Apr 20, 2020",5,Great quality and fast shipping! Sorry I failed to review sooner ;),None,https://i.etsystatic.com/2065530957/d/il/f1b965/2065530957/il_170x135.2065530957_jskl.jpg?version=0,etsy.com/listing/713875177/custom-t-shirt-embroidered-tee-pocket-t?ref=shop_review
katerielliott342418,"Apr 20, 2020",5,Amazing quality bought one shirt after another amazing shop!,None,https://i.etsystatic.com/1834118581/d/il/303532/1834118581/il_170x135.1834118581_jkfw.jpg?version=0,etsy.com/listing/563601798/engagement-gift-girlfriend-fiance-shirt?ref=shop_review
calicokitty56,"Apr 20, 2020",5,"Love the shirt, super cute and comfy!",None,https://i.etsystatic.com/2245815098/d/il/5f6198/2245815098/il_170x135.2245815098_q99t.jpg?version=0,etsy.com/listing/713872029/peachy-t-shirt-peachy-shirt-pocket-t?ref=shop_review
abbyandzacht,"Apr 20, 2020",5,"Thank You 😊. Stay safe and healthy. 💜, Stacy",None,https://i.etsystatic.com/2242946614/d/il/c14960/2242946614/il_170x135.2242946614_szdv.jpg?version=0,etsy.com/listing/776799064/loungewear-women-corona-tshirt-anti?ref=shop_review
Jennifer,"Apr 20, 2020",5,"I am beyond happy with my purchase!! Not only is the jean jacket itself of great quality, but the stitching of the name and date is as well! I went with the recommendations to purchase one size bigger than what you normally wear, and it was definitely a good choice- not too baggy and not too tight. You won't regret purchasing this item!",https://i.etsystatic.com/iap/4ae5e9/2320049663/iap_300x300.2320049663_erdd7cr7.jpg?version=0,https://i.etsystatic.com/2095005279/d/il/41e04a/2095005279/il_170x135.2095005279_rzs8.jpg?version=0,etsy.com/listing/680819927/embroidered-jean-jacket-bride-jean?ref=shop_review
